sentence,depart,arrival
"Je souhaite aller de [depart] à [arrival], comment est-ce que je peux y arriver?",[depart],[arrival]
"La gare d'arrivée est [arrival], et je pars demain depuis [depart], par où je dois passer?",[depart],[arrival]
"J'ai une grosse teuf demain à Paris, et du coup je dois partir de la gare de [depart] pour arriver à [arrival] à 16h30, donne moi l'itinéraire que je dois prendre.",[depart],[arrival]
"Pouvez-vous m'indiquer le trajet le plus rapide de [depart] à [arrival]?",[depart],[arrival]
"Je cherche un train qui part de [depart] et arrive à [arrival], quelles sont mes options?",[depart],[arrival]
"Mon voyage commence à [depart] et se termine à [arrival], quels sont les horaires disponibles?",[depart],[arrival]
"Je dois me rendre de [depart] à [arrival] pour une réunion, quel est le meilleur itinéraire?",[depart],[arrival]
"La gare de départ est [depart], et je dois arriver à [arrival]. Pouvez-vous m'aider avec les correspondances?",[depart],[arrival]
"J'ai besoin de planifier un voyage de [depart] à [arrival], quelles sont les meilleures options?",[depart],[arrival]
"Je pars de [depart] demain matin et je dois être à [arrival] dans l'après-midi, comment puis-je organiser mon voyage?",[depart],[arrival]
"Pourriez-vous me dire comment aller de [depart] à [arrival] en train?",[depart],[arrival]
"Je cherche le trajet le plus direct entre [depart] et [arrival], pouvez-vous m'aider?",[depart],[arrival]
"Mon train part de [depart], mais je dois arriver à [arrival]. Quel est l'itinéraire recommandé?",[depart],[arrival]
"Je dois voyager de [depart] à [arrival], quels sont les trains disponibles?",[depart],[arrival]
"La gare de départ est [depart] et je dois me rendre à [arrival], pouvez-vous m'indiquer les correspondances?",[depart],[arrival]
"Quel est le meilleur moyen de se rendre de [depart] à [arrival] en train?",[depart],[arrival]
"Je dois être à [arrival] pour 18h, en partant de [depart]. Quels sont les horaires possibles?",[depart],[arrival]
"Y a-t-il des trains directs entre [depart] et [arrival], ou dois-je prévoir des correspondances?",[depart],[arrival]
"Pour mon voyage de [depart] à [arrival], quelles sont les options les plus économiques?",[depart],[arrival]
"J'aimerais réserver un billet de train de [depart] à [arrival] pour ce week-end. Pouvez-vous m'aider?",[depart],[arrival]
"Pour arriver à [arrival], quel train dois-je prendre depuis [depart]?",[depart],[arrival]
